  2.849282] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.464818] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.471290] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.477767] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.484242] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.490716] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.497191] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.503671] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.510145] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.516625] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.523101] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.529583] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.536068] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.542548] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.549036] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.555507] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.561978] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.568455] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.574937] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.581408] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.587889] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.594372] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.600859] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.607327] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.613805] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.620283] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.626772] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.633255] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.639745] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.646225] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.652704] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.659178] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.665665] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.672141] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.678613] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.685087] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.691560] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.698030] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.704511] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.710989] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.717471] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.723945] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.730424] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.736904] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.743382] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.749855] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.756328] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.762810] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.769287] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.775769] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.782253] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.788729] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.795199] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.801669] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.808154] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.814630] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.821109] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.827576] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.834050] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.840525] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.847012] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.853477] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.859952] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.866420] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.872891] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.879359] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.885831] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.892298] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.898768] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.905239] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.911706] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.918184] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.924652] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.931130] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.937607] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.944096] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.950578] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.957057] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.963526] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.970000] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.976467] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.982947] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    3.989421] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    3.995894] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.002402] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.008889] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.015367] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.021851] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.028325] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.034802] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.041310] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.047790] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.054297] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.060782] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
