o_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    3.961177] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    3.967740] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    3.974301] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    3.980869] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    3.987435] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    3.993995] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.000550] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.007114] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.013666] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.020226] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.026782] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.033348] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.039905] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.046467] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.053024] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.059601] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.066160] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.072719] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.079287] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.085852] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.092418] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
[    4.098982] ERR:  [libvirtio_net] <virtio_net.c @  468> Packet size too big: 1534, max:1524
